Code,Meaning
00400,"pH, water, unfiltered, field, standard units"
00060,"Discharge, cubic feet per second"
72137,"Discharge, tidally filtered, cubic feet per second"
00065,"Gage height, feet"
00070,"Turbidity, water, unfiltered, Jackson Turbidity Units"
00076,"Turbidity, water, unfiltered, nephelometric turbidity units"
63680,"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)"
00300,"Dissolved oxygen, water, unfiltered, milligrams per liter"
00301,"Dissolved oxygen, water, unfiltered, percent of saturation"
00630,"Nitrate plus nitrite, water, unfiltered, milligrams per liter as nitrogen"
00631,"Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen"
99133,"Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen"
99137,"Nitrate, water, in situ, milligrams per liter as nitrogen"
80154,"Suspended sediment concentration, milligrams per liter"
80155,"Suspended sediment discharge, short tons per day"
80297,"Suspended sediment load, water, unfiltered, computed, the product of regression-computed suspended sediment concentration and streamflow, short tons per day"
99409,"Suspended sediment concentration, water, unfiltered, estimated by regression equation, milligrams per liter"

001, 002, 003 Maximum, Minimum and Mean

Start and end dates: 1/1/1990 -> 04/30/2019